Fiscal Year,Budget Type,Organization Entity,Command Name,Pillar Name,District Name,Unit Name,Feature_Category,Cost Element,Cost Element Long Name,Amount,ObjectId
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1713,Medical/dental admin. fees & taxes,6124200,14
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1714,Medical/dental - retiree,2526700,15
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1715,Paid-up Life - retiree,1017000,16
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1716,Widow & pension allowance,300000,17
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1718,A.D.&D. Insurance,871800,18
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1720,Long-term Disability - Association,255200,19
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1722,Long-term Disability - Sr. Officer,467500,20
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1730,Group Life Insurance,2134100,21
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1750,Ontario Health Tax,18949900,22
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1970,WSIB - Medical / dental,14811700,23
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1975,WSIB - Administration costs,8848300,24
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2010,Stationery and office supplies,55700,25
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2080,Photo / Video supplies,32000,26
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2082,Health & Safety supplies,160000,27
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2084,Ammunition/Firearms supplies,1766900,28
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2086,Traffic enforcement supplies,86100,29
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2135,Parts - tires/tubes,585800,30
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2181,Parts - vehicles,2382900,31
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2182,Parts - bicycles,63700,32
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2199,Parts - miscellaneous,100000,33
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2260,Gasoline,11058300,34
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2670,Uniforms,7554700,35
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2999,Miscellaneous materials,108100,36
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3099,General equipment,531500,37
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3420,Computers - software,20000,38
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3986,Vehicle preparation,1044200,39
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3989,Marine equipment,51000,40
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3991,Accommodation equipment,80000,41
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3992,Printers,25000,42
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,5-Equipment,3993,Firearms,621600,43
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4076,Cleaning contracts (uniforms),1909000,44
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4077,Repairs - vehicles,203800,45
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4079,Consulting - IT,180000,46
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4081,Shredding services,50000,47
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4083,P.E.U. - towing charges,4000,48
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4095,Repairs - Gas pumps / tanks,108000,49
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4096,Personal property care,3000,50
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,5-Equipment,3420,Computers - software,35000,51
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,5-Equipment,3980,Cameras and lenses,4000,52
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,5-Equipment,3982,Video production equipment,15000,53
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4082,Photo/video services,5400,54
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4084,Public relations / promotions,21200,55
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4093,Consulting - Creative communication,120000,56
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4142,VPU - services,4900,57
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4230,Business travel - other expenses,200,58
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4255,Conferences / seminars,4600,59
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4312,Courses / seminars,2400,60
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4424,Contracted Services - general,100000,61
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4516,Repairs - technical equipment,10100,62
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4770,Parking expenses,200,63
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4804,Wireless devices,1800,64
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4810,Telephone,26000,65
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4811,Wireless services,10100,66
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4813,Internet,24300,67
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4815,Courier services,100,68
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4970,Services & rents - general,18000,69
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,202600,70
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,1-Salaries,1505,Regular salaries - Civilian A,152600,71
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,2-Premium Pay,1584,Lieutime premium pay - Civilian,600,72
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,3-Benefits,1744,EI - Uniform,1300,73
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,3-Benefits,1746,EI - Civilian,2600,74
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,3-Benefits,1764,CPP - Uniform,4000,75
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,3-Benefits,1765,CPP - Civilian,8000,76
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,3-Benefits,1773,OMERS - Uniform,26800,77
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,3-Benefits,1776,OMERS - Civilian,14600,78
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,4-Materials & Supplies,2010,Stationery and office supplies,6400,79
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,4-Materials & Supplies,2020,Books & Magazines,400,80
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,4-Materials & Supplies,2999,Miscellaneous materials,200,81
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,6-Services,4084,Public relations / promotions,1500,82
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,6-Services,4098,Service contracts,500,83
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,6-Services,4312,Courses / seminars,18900,84
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,6-Services,4760,Membership fees,100,85
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,6-Services,4770,Parking expenses,100,86
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,6-Services,4811,Wireless services,100,87
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,6-Services,4970,Services & rents - general,100,88
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,545200,89
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1504,Regular salaries - Uniform,4325500,90
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1505,Regular salaries - Civilian A,344200,91
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1532,Alternate rate - Uniform Sr. Officer,5000,92
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1533,Alternate rate - Uniform,13900,93
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1534,Alternate rate - Civilian A,3500,94
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1551,Shift Bonus - Uniform,500,95
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1571,Court premium pay - Uniform,1300,96
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1572,Overtime premium pay - Uniform,82500,97
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1573,Callback premium pay - Uniform,39700,98
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1574,Lieutime premium pay - Uniform,54600,99
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1582,Overtime premium pay - Civilian,4200,100
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,9042,Revenues - other,-22875000,101
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,9260,Draws from Reserve Funds,-13000000,102
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1501,Regular salaries - Chief/Command,-2800,103
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1502,Regular salaries - Civilian Sr. Officer,-748500,104
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,-619200,105
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1504,Regular salaries - Uniform,-9740100,106
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1505,Regular salaries - Civilian A,6280300,107
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1506,Regular salaries - Civilian B,796500,108
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1507,Regular salaries - Civilian C,-6615300,109
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1508,Regular salaries - Excluded,4200,110
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1563,Maternal/Parental top up - Uniform,1721000,111
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1564,Maternal/Parental top up - Civilian,926700,112
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1744,EI - Uniform,-451200,113
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1746,EI - Civilian,-205600,114
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1764,CPP - Uniform,-1374200,115
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1765,CPP - Civilian,-625100,116
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1773,OMERS - Uniform,-2336200,117
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1776,OMERS - Civilian,-990500,118
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,7-Revenues,8532,Secondments - salaries,-1736100,119
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,7-Revenues,8533,Secondments - benefits,-504700,120
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-Time Projects,FIFA World Cup 2026,1-Salaries,1504,Regular salaries - Uniform,148000,121
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-Time Projects,FIFA World Cup 2026,3-Benefits,1744,EI - Uniform,1300,122
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-Time Projects,FIFA World Cup 2026,3-Benefits,1764,CPP - Uniform,4000,123
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-Time Projects,FIFA World Cup 2026,3-Benefits,1773,OMERS - Uniform,18900,124
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,168800,125
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,1-Salaries,1504,Regular salaries - Uniform,537600,126
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,3-Benefits,1744,EI - Uniform,6500,127
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,3-Benefits,1764,CPP - Uniform,20000,128
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,3-Benefits,1773,OMERS - Uniform,88400,129
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,6-Services,4424,Contracted Services - general,650000,130
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,7-Revenues,9270,Draws from Reserves,-650000,131
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,3-Benefits,1717,Central sick bank (Association),7000000,132
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,3-Benefits,1719,Health care benefits - retiree,3433500,133
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,3-Benefits,1960,Sick Pay Credit Grant,17030300,134
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4010,Professional / technical services - legal,540000,135
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4011,Legal indemnification/inquests,2430300,136
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4013,Bargaining expenses,150000,137
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4091,Consulting - External lawyers / planners,150000,138
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4424,Contracted Services - general,4350000,139
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,5020,Contribution to current,240200,140
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,6020,Contribution to Reserve - general,930000,141
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,6021,Contribution to Reserve - Vehicle and Equipment,10766000,142
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,6030,Contribution to Reserve Funds - general,2016700,143
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,7-Revenues,9260,Draws from Reserve Funds,-27463800,144
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,7-Revenues,9270,Draws from Reserves,-7860500,145
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,"Centralized Command Charges,CHF","Centralized Command Charges,CHF","Centralized Command Charges, CHF",2-Premium Pay,1574,Lieutime premium pay - Uniform,55500,146
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1501,Regular salaries - Chief/Command,316500,147
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1502,Regular salaries - Civilian Sr. Officer,303100,148
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,365600,149
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1504,Regular salaries - Uniform,868700,150
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1583,Callback premium pay - Civilian,3400,151
2024,Proposed Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1584,Lieutime premium pay - Civilian,1200,152
